candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N4p5_R48p05_W10p4_S14,48.05,4.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N4p5_R48p05_W10p4_S14.py,skill/LQ_N4p5_R48p05_W10p4_S14.il,gds/LQ_N4p5_R48p05_W10p4_S14.gds,s2p/LQ_N4p5_R48p05_W10p4_S14.s2p
LQ_N4p5_R48_W10p4_S14,48.0,4.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N4p5_R48_W10p4_S14.py,skill/LQ_N4p5_R48_W10p4_S14.il,gds/LQ_N4p5_R48_W10p4_S14.gds,s2p/LQ_N4p5_R48_W10p4_S14.s2p
LQ_N4p5_R47p95_W10p4_S14,47.95,4.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N4p5_R47p95_W10p4_S14.py,skill/LQ_N4p5_R47p95_W10p4_S14.il,gds/LQ_N4p5_R47p95_W10p4_S14.gds,s2p/LQ_N4p5_R47p95_W10p4_S14.s2p
LQ_N4p5_R47p9_W10p4_S14,47.9,4.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N4p5_R47p9_W10p4_S14.py,skill/LQ_N4p5_R47p9_W10p4_S14.il,gds/LQ_N4p5_R47p9_W10p4_S14.gds,s2p/LQ_N4p5_R47p9_W10p4_S14.s2p
LQ_N4p5_R46p75_W10p4_S15,46.75,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R46p75_W10p4_S15.py,skill/LQ_N4p5_R46p75_W10p4_S15.il,gds/LQ_N4p5_R46p75_W10p4_S15.gds,s2p/LQ_N4p5_R46p75_W10p4_S15.s2p
LQ_N4p5_R46p7_W10p4_S15,46.7,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R46p7_W10p4_S15.py,skill/LQ_N4p5_R46p7_W10p4_S15.il,gds/LQ_N4p5_R46p7_W10p4_S15.gds,s2p/LQ_N4p5_R46p7_W10p4_S15.s2p
LQ_N4p5_R46p65_W10p4_S15,46.65,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R46p65_W10p4_S15.py,skill/LQ_N4p5_R46p65_W10p4_S15.il,gds/LQ_N4p5_R46p65_W10p4_S15.gds,s2p/LQ_N4p5_R46p65_W10p4_S15.s2p
LQ_N4p5_R46p6_W10p4_S15,46.6,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R46p6_W10p4_S15.py,skill/LQ_N4p5_R46p6_W10p4_S15.il,gds/LQ_N4p5_R46p6_W10p4_S15.gds,s2p/LQ_N4p5_R46p6_W10p4_S15.s2p
