candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N2p5_R51_W9p6_S12,51.0,2.5,12,9.6,12.0,180.0,180.0,fdl/LQ_N2p5_R51_W9p6_S12.py,skill/LQ_N2p5_R51_W9p6_S12.il,gds/LQ_N2p5_R51_W9p6_S12.gds,s2p/LQ_N2p5_R51_W9p6_S12.s2p
LQ_N2p5_R44_W10p4_S15,44.0,2.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N2p5_R44_W10p4_S15.py,skill/LQ_N2p5_R44_W10p4_S15.il,gds/LQ_N2p5_R44_W10p4_S15.gds,s2p/LQ_N2p5_R44_W10p4_S15.s2p
LQ_N2p5_R38_W12_S16,38.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R38_W12_S16.py,skill/LQ_N2p5_R38_W12_S16.il,gds/LQ_N2p5_R38_W12_S16.gds,s2p/LQ_N2p5_R38_W12_S16.s2p
LQ_N2p5_R53_W9p6_S14,53.0,2.5,12,9.6,14.0,180.0,180.0,fdl/LQ_N2p5_R53_W9p6_S14.py,skill/LQ_N2p5_R53_W9p6_S14.il,gds/LQ_N2p5_R53_W9p6_S14.gds,s2p/LQ_N2p5_R53_W9p6_S14.s2p
LQ_N2p5_R43_W10p4_S15,43.0,2.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N2p5_R43_W10p4_S15.py,skill/LQ_N2p5_R43_W10p4_S15.il,gds/LQ_N2p5_R43_W10p4_S15.gds,s2p/LQ_N2p5_R43_W10p4_S15.s2p
LQ_N2p5_R37_W12_S16,37.0,2.5,12,12.0,16.0,180.0,180.0,fdl/LQ_N2p5_R37_W12_S16.py,skill/LQ_N2p5_R37_W12_S16.il,gds/LQ_N2p5_R37_W12_S16.gds,s2p/LQ_N2p5_R37_W12_S16.s2p
LQ_N2p5_R52_W9p6_S14,52.0,2.5,12,9.6,14.0,180.0,180.0,fdl/LQ_N2p5_R52_W9p6_S14.py,skill/LQ_N2p5_R52_W9p6_S14.il,gds/LQ_N2p5_R52_W9p6_S14.gds,s2p/LQ_N2p5_R52_W9p6_S14.s2p
LQ_N2p5_R47_W10p4_S14,47.0,2.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N2p5_R47_W10p4_S14.py,skill/LQ_N2p5_R47_W10p4_S14.il,gds/LQ_N2p5_R47_W10p4_S14.gds,s2p/LQ_N2p5_R47_W10p4_S14.s2p
LQ_N2p5_R49_W9p6_S12,49.0,2.5,12,9.6,12.0,180.0,180.0,fdl/LQ_N2p5_R49_W9p6_S12.py,skill/LQ_N2p5_R49_W9p6_S12.il,gds/LQ_N2p5_R49_W9p6_S12.gds,s2p/LQ_N2p5_R49_W9p6_S12.s2p
LQ_N2p5_R42_W10p4_S15,42.0,2.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N2p5_R42_W10p4_S15.py,skill/LQ_N2p5_R42_W10p4_S15.il,gds/LQ_N2p5_R42_W10p4_S15.gds,s2p/LQ_N2p5_R42_W10p4_S15.s2p
