candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N4p5_R59p15_W10p4_S15,59.15,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R59p15_W10p4_S15.py,skill/LQ_N4p5_R59p15_W10p4_S15.il,gds/LQ_N4p5_R59p15_W10p4_S15.gds,s2p/LQ_N4p5_R59p15_W10p4_S15.s2p
LQ_N4p5_R59p1_W10p4_S15,59.1,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R59p1_W10p4_S15.py,skill/LQ_N4p5_R59p1_W10p4_S15.il,gds/LQ_N4p5_R59p1_W10p4_S15.gds,s2p/LQ_N4p5_R59p1_W10p4_S15.s2p
LQ_N4p5_R59p05_W10p4_S15,59.05,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R59p05_W10p4_S15.py,skill/LQ_N4p5_R59p05_W10p4_S15.il,gds/LQ_N4p5_R59p05_W10p4_S15.gds,s2p/LQ_N4p5_R59p05_W10p4_S15.s2p
LQ_N4p5_R59_W10p4_S15,59.0,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R59_W10p4_S15.py,skill/LQ_N4p5_R59_W10p4_S15.il,gds/LQ_N4p5_R59_W10p4_S15.gds,s2p/LQ_N4p5_R59_W10p4_S15.s2p
LQ_N4p5_R57p2_W11p2_S16,57.2,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R57p2_W11p2_S16.py,skill/LQ_N4p5_R57p2_W11p2_S16.il,gds/LQ_N4p5_R57p2_W11p2_S16.gds,s2p/LQ_N4p5_R57p2_W11p2_S16.s2p
LQ_N4p5_R57p15_W11p2_S16,57.15,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R57p15_W11p2_S16.py,skill/LQ_N4p5_R57p15_W11p2_S16.il,gds/LQ_N4p5_R57p15_W11p2_S16.gds,s2p/LQ_N4p5_R57p15_W11p2_S16.s2p
LQ_N4p5_R57p1_W11p2_S16,57.1,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R57p1_W11p2_S16.py,skill/LQ_N4p5_R57p1_W11p2_S16.il,gds/LQ_N4p5_R57p1_W11p2_S16.gds,s2p/LQ_N4p5_R57p1_W11p2_S16.s2p
LQ_N4p5_R57p05_W11p2_S16,57.05,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R57p05_W11p2_S16.py,skill/LQ_N4p5_R57p05_W11p2_S16.il,gds/LQ_N4p5_R57p05_W11p2_S16.gds,s2p/LQ_N4p5_R57p05_W11p2_S16.s2p
