candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N4p5_R58p1_W10p4_S15,58.1,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R58p1_W10p4_S15.py,skill/LQ_N4p5_R58p1_W10p4_S15.il,gds/LQ_N4p5_R58p1_W10p4_S15.gds,s2p/LQ_N4p5_R58p1_W10p4_S15.s2p
LQ_N4p5_R58p15_W10p4_S15,58.15,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R58p15_W10p4_S15.py,skill/LQ_N4p5_R58p15_W10p4_S15.il,gds/LQ_N4p5_R58p15_W10p4_S15.gds,s2p/LQ_N4p5_R58p15_W10p4_S15.s2p
LQ_N4p5_R58p2_W10p4_S15,58.2,4.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N4p5_R58p2_W10p4_S15.py,skill/LQ_N4p5_R58p2_W10p4_S15.il,gds/LQ_N4p5_R58p2_W10p4_S15.gds,s2p/LQ_N4p5_R58p2_W10p4_S15.s2p
LQ_N4p5_R56p5_W11p2_S16,56.5,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R56p5_W11p2_S16.py,skill/LQ_N4p5_R56p5_W11p2_S16.il,gds/LQ_N4p5_R56p5_W11p2_S16.gds,s2p/LQ_N4p5_R56p5_W11p2_S16.s2p
LQ_N4p5_R56p6_W11p2_S16,56.6,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R56p6_W11p2_S16.py,skill/LQ_N4p5_R56p6_W11p2_S16.il,gds/LQ_N4p5_R56p6_W11p2_S16.gds,s2p/LQ_N4p5_R56p6_W11p2_S16.s2p
LQ_N4p5_R56p65_W11p2_S16,56.65,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R56p65_W11p2_S16.py,skill/LQ_N4p5_R56p65_W11p2_S16.il,gds/LQ_N4p5_R56p65_W11p2_S16.gds,s2p/LQ_N4p5_R56p65_W11p2_S16.s2p
LQ_N4p5_R56p7_W11p2_S16,56.7,4.5,12,11.2,16.0,180.0,180.0,fdl/LQ_N4p5_R56p7_W11p2_S16.py,skill/LQ_N4p5_R56p7_W11p2_S16.il,gds/LQ_N4p5_R56p7_W11p2_S16.gds,s2p/LQ_N4p5_R56p7_W11p2_S16.s2p
