candidate_id,r0_um,N_turns,sides,W_um,S_um,left_bridge_um,right_bridge_um,fdl_path,skill_path,gds_path,s2p_path
LQ_N3p5_R69p25_W10p4_S15,69.25,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R69p25_W10p4_S15.py,skill/LQ_N3p5_R69p25_W10p4_S15.il,gds/LQ_N3p5_R69p25_W10p4_S15.gds,s2p/LQ_N3p5_R69p25_W10p4_S15.s2p
LQ_N3p5_R69_W10p4_S15,69.0,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R69_W10p4_S15.py,skill/LQ_N3p5_R69_W10p4_S15.il,gds/LQ_N3p5_R69_W10p4_S15.gds,s2p/LQ_N3p5_R69_W10p4_S15.s2p
LQ_N3p5_R68p75_W10p4_S15,68.75,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R68p75_W10p4_S15.py,skill/LQ_N3p5_R68p75_W10p4_S15.il,gds/LQ_N3p5_R68p75_W10p4_S15.gds,s2p/LQ_N3p5_R68p75_W10p4_S15.s2p
LQ_N3p5_R68p5_W10p4_S15,68.5,3.5,12,10.4,15.0,180.0,180.0,fdl/LQ_N3p5_R68p5_W10p4_S15.py,skill/LQ_N3p5_R68p5_W10p4_S15.il,gds/LQ_N3p5_R68p5_W10p4_S15.gds,s2p/LQ_N3p5_R68p5_W10p4_S15.s2p
LQ_N3p5_R70_W10p4_S14,70.0,3.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N3p5_R70_W10p4_S14.py,skill/LQ_N3p5_R70_W10p4_S14.il,gds/LQ_N3p5_R70_W10p4_S14.gds,s2p/LQ_N3p5_R70_W10p4_S14.s2p
LQ_N3p5_R69p75_W10p4_S14,69.75,3.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N3p5_R69p75_W10p4_S14.py,skill/LQ_N3p5_R69p75_W10p4_S14.il,gds/LQ_N3p5_R69p75_W10p4_S14.gds,s2p/LQ_N3p5_R69p75_W10p4_S14.s2p
LQ_N3p5_R69p5_W10p4_S14,69.5,3.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N3p5_R69p5_W10p4_S14.py,skill/LQ_N3p5_R69p5_W10p4_S14.il,gds/LQ_N3p5_R69p5_W10p4_S14.gds,s2p/LQ_N3p5_R69p5_W10p4_S14.s2p
LQ_N3p5_R69p25_W10p4_S14,69.25,3.5,12,10.4,14.0,180.0,180.0,fdl/LQ_N3p5_R69p25_W10p4_S14.py,skill/LQ_N3p5_R69p25_W10p4_S14.il,gds/LQ_N3p5_R69p25_W10p4_S14.gds,s2p/LQ_N3p5_R69p25_W10p4_S14.s2p
